문장1,문장2,정답
영화를 보는 것을 좋아한다,영화 감상을 즐긴다,1
오늘 날씨가 정말 좋다,날씨가 매우 화창하다,1
저녁을 먹었다,저녁 식사를 했다,1
공부하는 것이 어렵다,학습이 힘들다,1
운동을 매일 한다,매일 운동한다,1
책을 읽는 것을 좋아한다,독서를 즐긴다,1
커피가 맛있다,커피의 맛이 좋다,1
음악을 듣고 있다,음악 감상 중이다,1
아침에 일찍 일어났다,이른 아침에 기상했다,1
친구를 만났다,친구와 만남을 가졌다,1
시험을 준비한다,시험 준비를 한다,1
여행을 가고 싶다,여행을 떠나고 싶다,1
회사에 출근했다,직장에 나갔다,1
점심을 먹는다,점심 식사를 한다,1
숙제를 끝냈다,과제를 완료했다,1
영어를 공부한다,영어 학습을 한다,1
차를 운전한다,자동차를 운전한다,1
집에 돌아왔다,귀가했다,1
물을 마신다,수분을 섭취한다,1
잠을 잘 잤다,숙면을 취했다,1
산책을 간다,산책을 나간다,1
요리를 한다,음식을 만든다,1
청소를 했다,청소를 마쳤다,1
전화를 받았다,전화를 수신했다,1
메일을 보냈다,이메일을 발송했다,1
회의에 참석했다,회의에 참여했다,1
보고서를 작성한다,보고서를 쓴다,1
프로젝트를 완성했다,프로젝트를 마무리했다,1
발표를 준비한다,프레젠테이션을 준비한다,1
강의를 듣는다,수업을 수강한다,1
도서관에 갔다,도서관을 방문했다,1
운동화를 신었다,운동화를 착용했다,1
가방을 들고 있다,가방을 휴대하고 있다,1
지하철을 탔다,지하철에 승차했다,1
버스를 기다린다,버스를 대기한다,1
택시를 불렀다,택시를 호출했다,1
약속 시간에 늦었다,약속에 지각했다,1
병원에 갔다,병원을 방문했다,1
약을 먹었다,약을 복용했다,1
건강이 좋아졌다,건강이 회복되었다,1
시장에서 장을 봤다,시장에서 물건을 구입했다,1
옷을 샀다,의류를 구매했다,1
신발이 작다,신발 사이즈가 작다,1
머리를 잘랐다,이발을 했다,1
손을 씻었다,손을 세정했다,1
이를 닦았다,양치질을 했다,1
샤워를 했다,목욕을 했다,1
화장을 했다,메이크업을 했다,1
거울을 보았다,거울을 봤다,1
사진을 찍었다,사진 촬영을 했다,1
영화를 좋아한다,영화가 싫다,0
날씨가 좋다,비가 많이 온다,0
공부를 한다,게임을 한다,0
아침을 먹었다,잠을 잔다,0
운동을 좋아한다,운동을 싫어한다,0
책을 읽는다,TV를 본다,0
커피를 마신다,차를 싫어한다,0
음악이 시끄럽다,조용한 것을 좋아한다,0
여름이 좋다,겨울이 춥다,0
밥을 먹는다,물을 엎질렀다,0
학교에 간다,집에서 논다,0
일찍 일어난다,늦게 잠든다,0
컴퓨터를 켠다,책을 덮는다,0
노래를 부른다,그림을 그린다,0
산에 올라간다,바다로 내려간다,0
빵을 좋아한다,고기가 질기다,0
시험을 본다,휴가를 간다,0
돈을 번다,시간을 낭비한다,0
친구가 많다,혼자 있는 것을 좋아한다,0
도시가 복잡하다,시골이 조용하다,0
자동차가 빠르다,자전거가 느리다,0
봄이 따뜻하다,가을이 시원하다,0
아이스크림이 달다,레몬이 시다,0
강아지가 귀엽다,뱀이 무섭다,0
꽃이 예쁘다,쓰레기가 더럽다,0
하늘이 맑다,땅이 젖었다,0
웃는다,우는 사람이 있다,0
문을 연다,창문을 닫는다,0
앞으로 간다,뒤로 물러선다,0
위로 올라간다,아래로 내려간다,0
오른쪽으로 돈다,왼쪽이 막혔다,0
소리가 크다,빛이 밝다,0
무겁다,날씨가 덥다,0
길이 좁다,건물이 높다,0
속도가 빠르다,가격이 비싸다,0
맛이 좋다,냄새가 나쁘다,0
색깔이 밝다,소리가 작다,0
온도가 높다,습도가 낮다,0
시작했다,아직 끝나지 않았다,0
성공했다,포기하지 않았다,0
이겼다,져도 괜찮다,0
찾았다,아직 잃어버리지 않았다,0
기억한다,잊고 싶지 않다,0
알고 있다,모르는 척 한다,0
좋아한다,싫어하지 않는다,0
믿는다,의심하지 않는다,0
희망한다,절망하지 않는다,0
사랑한다,미워하지 않는다,0
행복하다,슬프지 않다,0
건강하다,아프지 않다,0
